country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
North Macedonia,MKD,Upper middle income,2023,3.4,4.3,1827816.0,9.2,16815.9072,1.0063461787019825,0.17682183862034304,0.6597753750061102,1.3529169823978549,42.30655988031789,84.61311976063578,169.22623952127157
Timor-Leste,TLS,Lower middle income,2023,49.2,46.7,1384286.0,22.077,30560.882022000005,0.49917894107888505,0.23666777094017366,0.03531011003614437,0.9630477721216251,38.138371815446746,76.27674363089349,152.55348726178698
Mongolia,MNG,Upper middle income,2023,13.6,8.8,3481145.0,19.0,66141.755,0.21028258896816163,0.24013494865405466,-0.26038191039378555,0.6809470883301086,34.771148700744625,69.54229740148925,139.0845948029785
Brunei Darussalam,BRN,High income,2023,10.1,19.6,458949.0,13.59,6237.11691,1.6641094943183812,0.13402500627647393,1.4014204820164922,1.92679850662027,25.94811366776181,51.89622733552362,103.79245467104724
Eswatini,SWZ,Lower middle income,2023,46.2,20.0,1230506.0,24.073,29621.970938000002,0.2690074631081825,0.18542289086582345,-0.09442140298883134,0.6324363292051967,19.921328135739223,39.84265627147845,79.6853125429569
Malta,MLT,High income,2023,5.5,3.3,552747.0,8.1,4477.2507,1.6877010844107911,0.13726347864633193,1.4186646662639806,1.9567375025576017,18.89065215392243,37.78130430784486,75.56260861568973
Comoros,COM,Lower middle income,2023,40.2,18.2,850387.0,28.653,24366.138711,0.2901196957379911,0.18356137895094607,-0.06966060700586318,0.6498999984818454,17.672741872862517,35.34548374572503,70.69096749145007
Belize,BLZ,Upper middle income,2023,12.8,15.0,411106.0,18.025,7410.185649999999,0.825491975874892,0.21523405805346985,0.40363322209009106,1.2473507296596928,15.292621984545674,30.585243969091348,61.170487938182696
Montenegro,MNE,Upper middle income,2023,2.5,7.2,623529.0,11.2,6983.5248,0.7534986477150412,0.1190621309207078,0.520136871110454,0.9868604243196286,13.155191232711134,26.31038246542227,52.62076493084454
Maldives,MDV,Upper middle income,2023,5.7,15.3,525994.0,11.018,5795.401892,0.8072411139489711,0.12459441560310197,0.5630360593668906,1.0514461685310503,11.695716697700137,23.391433395400274,46.78286679080055
Suriname,SUR,Upper middle income,2023,16.3,8.3,628886.0,17.298,10878.470027999998,0.3380526387615852,0.2597767802023475,-0.17110985043501614,0.8472151279581862,9.193738746635537,18.387477493271074,36.77495498654215
Bhutan,BTN,Lower middle income,2023,18.0,17.9,786385.0,12.663,9957.993255000001,0.35362097449801483,0.2997406574939109,-0.2338707141900503,0.9411126631860804,8.803388197194398,17.606776394388795,35.21355278877759
Sao Tome and Principe,STP,Lower middle income,2023,14.1,11.7,230871.0,28.185,6507.0991349999995,0.5028002133109715,0.28132745824011923,-0.04860160483966225,1.0542020314616052,8.179427082784093,16.358854165568186,32.71770833113637
Seychelles,SYC,High income,2023,14.3,7.9,119773.0,13.0,1557.049,1.3968351640389458,0.2173036413438831,0.9709200270049351,1.8227503010729569,5.4373519883291905,10.874703976658381,21.749407953316762
