country_code,country_name,year,indicator_name,value,source,retrieved_date
AFG,Afghanistan,2021,literacy_rate,37.2700004577637,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AFG,Afghanistan,2020,literacy_rate,36.0149650316607,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AFG,Afghanistan,2015,literacy_rate,33.75,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AFG,Afghanistan,2011,literacy_rate,31.4500007629394,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2023,literacy_rate,97.6800003051758,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2017,literacy_rate,98.8099975585938,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2012,literacy_rate,97.25,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2011,literacy_rate,96.8499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2008,literacy_rate,95.9400024414062,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ALB,Albania,2001,literacy_rate,98.7099990844727,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DZA,Algeria,2008,literacy_rate,75.1399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DZA,Algeria,2006,literacy_rate,72.6500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DZA,Algeria,2002,literacy_rate,69.870002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AGO,Angola,2023,literacy_rate,68.1800003051758,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AGO,Angola,2015,literacy_rate,66.2399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AGO,Angola,2014,literacy_rate,66.0299987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AGO,Angola,2001,literacy_rate,67.4100036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ATG,Antigua and Barbuda,2001,literacy_rate,98.9499969482422,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARG,Argentina,2020,literacy_rate,99.1399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARG,Argentina,2001,literacy_rate,97.1900024414062,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2023,literacy_rate,99.8399963378906,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2022,literacy_rate,99.8199996948242,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2020,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2019,literacy_rate,100.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2018,literacy_rate,100.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2017,literacy_rate,99.7399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2016,literacy_rate,99.7399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2011,literacy_rate,99.7399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ARM,Armenia,2001,literacy_rate,99.4000015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ABW,Aruba,2010,literacy_rate,96.8199996948242,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ABW,Aruba,2000,literacy_rate,97.2900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2023,literacy_rate,99.7799987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2019,literacy_rate,99.8000030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2017,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2016,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2015,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2014,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2013,literacy_rate,99.7900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2012,literacy_rate,99.7799987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2011,literacy_rate,99.7799987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2010,literacy_rate,99.7699966430664,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2009,literacy_rate,99.7600021362305,UNESCO Institute for Statistics (via World Bank API),2026-09-02
AZE,Azerbaijan,2007,literacy_rate,99.5899963378906,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BHR,Bahrain,2023,literacy_rate,97.8499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BHR,Bahrain,2022,literacy_rate,97.870002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BHR,Bahrain,2001,literacy_rate,86.5500030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2022,literacy_rate,79.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2021,literacy_rate,76.3600006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2020,literacy_rate,74.9100036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2019,literacy_rate,74.6800003051758,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2018,literacy_rate,73.9100036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2017,literacy_rate,72.8899993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2016,literacy_rate,72.7600021362305,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2015,literacy_rate,65.1399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2014,literacy_rate,61.0900001525879,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2013,literacy_rate,61.0200004577637,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2012,literacy_rate,57.8600006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2011,literacy_rate,58.7700004577637,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BGD,Bangladesh,2001,literacy_rate,47.4900016784668,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BLR,Belarus,2019,literacy_rate,99.870002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BLR,Belarus,2009,literacy_rate,99.620002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
BLZ,Belize,2022,literacy_rate,87.879997253418,UNESCO Institute for Statistics (via World Bank API),2026-09-02
